"UTM Content","Площадка","Визиты","Посетители","Отказы","Время на сайте","Роботность","Достижения цели (Автоцель: заполнил контактные данные)","Достижения цели (click_download)","Достижения цели (click_download_header)"
"K5_welcome-bonus","com.dreamgames.royalmatch","2","2","0.0","00:00:15","0.0","0","0","0"
"K5_welcome-bonus","com.fingerlab.word.blockpuzzles","1","1","1.0","00:00:00","0.0","0","0","0"
"K5_welcome-bonus","com.fpl.sprunked.mix","1","1","0.0","00:00:17","0.0","0","0","0"
"K5_welcome-bonus","com.fugo.wow","53","41","0.3018867924528302","00:02:35","0.0","0","0","0"
"K5_welcome-bonus","com.fy.build.xm","1","1","1.0","00:00:00","0.0","0","0","0"
"K5_welcome-bonus","com.fyhk.kingdom.xm","1","1","0.0","00:00:15","0.0","0","0","0"
"K5_welcome-bonus","com.gamejt.bicyclebp.mi","1","1","0.0","00:00:16","0.0","0","0","0"
"K5_welcome-bonus","com.imo.android.imoim","1","1","1.0","00:00:00","0.0","0","0","0"
"K5_welcome-bonus","com.imo.android.imoimhd","2","1","0.5","00:00:11","0.0","0","0","0"
"K5_welcome-bonus","com.linkdesks.jewelblastmania","2","2","0.0","00:00:15","0.0","0","0","0"
"K5_welcome-bonus","com.novanews.android.localnews.ru","3","2","0.33333333333333326","00:01:13","0.0","0","0","0"
"K5_welcome-bonus","com.oakever.jigsawcard","1","1","0.0","00:00:17","0.0","0","0","0"
"K5_welcome-bonus","com.oakever.tiletrip","36","27","0.2222222222222222","00:02:18","0.0","0","0","0"
"K5_welcome-bonus","com.openmygame.games.android.jigsaw.solitaire.puzzle","1","1","1.0","00:00:00","0.0","0","0","0"
"K5_welcome-bonus","com.openmygame.games.android.wordpizza","23","18","0.21739130434782608","00:01:16","0.0","0","0","0"
"K5_welcome-bonus","com.openmygame.magicwordsearch","21","16","0.42857142857142855","00:00:20","0.0","0","0","0"
"K5_welcome-bonus","com.orangeapps.piratetreasure","3","3","0.33333333333333326","00:00:10","0.0","0","0","0"
"K5_welcome-bonus","com.pixel.art.coloring.color.number","14","10","0.7142857142857143","00:01:10","0.0","0","0","0"
"K5_welcome-bonus","com.starplay.spider.fighter.openworld","2","2","1.0","00:00:00","0.0","0","0","0"
"K5_welcome-bonus","com.tripledot.woodoku","9","6","0.5555555555555556","00:00:07","0.0","0","0","0"
"K5_welcome-bonus","com.vitastudio.mahjong","13","11","0.5384615384615384","00:00:06","0.0","0","0","0"
"K5_welcome-bonus","com.xgft.slaprt.mi","1","1","1.0","00:00:00","0.0","0","0","0"
"K5_welcome-bonus","com.xgft.sprunkj.mi","1","1","0.0","00:00:44","0.0","0","0","0"
"K5_welcome-bonus","com.yg.mini.games","1","1","0.0","00:00:48","0.0","0","0","0"
"K5_welcome-bonus","com.zm.nuts","2","2","1.0","00:00:00","0.0","0","0","0"
"K5_welcome-bonus","com.zm.watersort","1","1","0.0","00:01:48","0.0","0","0","0"
"K5_welcome-bonus","dsp-betweenx.yandex.ru","10","7","0.2","00:00:17","0.0","0","0","0"
"K5_welcome-bonus","dsp-inneractive.yandex.ru","1","1","1.0","00:00:00","0.0","0","0","0"
"K5_welcome-bonus","dsp-mintagral.yandex.ru","1","1","0.0","00:00:15","0.0","0","0","0"
"K5_welcome-bonus","dsp-unityads.yandex.ru","13","12","0.6923076923076923","00:00:36","0.0","0","0","0"
"K5_welcome-bonus","dsp-webeye.yandex.ru","8","7","0.625","00:00:26","0.0","0","0","0"
"K5_welcome-bonus","dsp-yeahmobi.yandex.ru","15","14","0.6","00:00:09","0.0","0","0","0"
"K5_welcome-bonus","dsp.yandex.ru","278","237","0.44964028776978415","00:01:05","0.0","0","0","0"
"K5_welcome-bonus","games.conifer.block.puzzle.animal.free","1","1","0.0","00:00:15","0.0","0","0","0"
"K5_welcome-bonus","jigsaw.puzzle.game.banana","1","1","0.0","00:00:16","0.0","0","0","0"
"K5_welcome-bonus","kidultlovin.word.zen","2","2","0.0","00:05:48","0.0","0","0","0"
"K5_welcome-bonus","m.edadeal.ru","2","1","0.0","00:00:14","0.0","0","0","0"
"K5_welcome-bonus","teskin.jewels.planet","2","1","1.0","00:00:00","0.0","0","0","0"
"r9_ip-HbqZgSdpBJ","Не определено","2","2","1.0","00:00:00","0.0","0","0","0"
"r9_ipHbqZgS-dp-BJeN","Не определено","1","1","1.0","00:00:00","0.0","0","0","0"
